"","EMD_CD","EMD_ENG_NM","EMD_KOR_NM","id"
"125","1114013800","Pildong 2(i)-ga","필동2가",125
"126","1114013900","Pil-dong 3(sam)-ga","필동3가",126
"127","1114014000","Namhak-dong","남학동",127
"128","1114014100","Juja-dong","주자동",128
"129","1114014200","Yejang-dong","예장동",129
"130","1114014300","Jangchung-dong 1(il)-ga","장충동1가",130
"131","1114014400","Jangchung-dong 2(i)-ga","장충동2가",131
"132","1114014500","Gwanghui-dong 1(il)-ga","광희동1가",132
"133","1114014600","Gwanghui-dong 2(i)-ga","광희동2가",133
"134","1114014700","Ssangnim-dong","쌍림동",134
"135","1114014800","Euljiro 6(yuk)-ga","을지로6가",135
"136","1114014900","Euljiro 7(chil)-ga","을지로7가",136
"137","1114015000","Euljiro 4(sa)-ga","을지로4가",137
"138","1114015100","Euljiro 5(o)-ga","을지로5가",138
"139","1114015200","Jugyo-dong","주교동",139
"140","1114015300","Bangsan-dong","방산동",140
"141","1114015400","Ojang-dong","오장동",141
"142","1114015500","Euljiro 3(sam)-ga","을지로3가",142
"143","1114015600","Ipjeong-dong","입정동",143
"144","1114015700","Sallim-dong","산림동",144
"145","1114015800","Chungmuro 3(sam)-ga","충무로3가",145
"146","1114015900","Cho-dong","초동",146
"147","1114016000","Inhyeon-dong 1(il)-ga","인현동1가",147
"148","1114016100","Jeo-dong 2(i)-ga","저동2가",148
"149","1114016200","Sindang-dong","신당동",149
"150","1114016300","Heungin-dong","흥인동",150
"151","1114016400","Muhak-dong","무학동",151
"152","1114016500","Hwanghak-dong","황학동",152
"153","1114016600","Seosomun-dong","서소문동",153
"154","1114016700","Jeong-dong","정동",154
"155","1114016800","Sunhwa-dong","순화동",155
"156","1114016900","Uijuro 1(il)-ga","의주로1가",156
"157","1114017000","Chungjeongno 1(il)-ga","충정로1가",157
"158","1114017100","Jungnim-dong","중림동",158
"159","1114017200","Uijuro 2(i)-ga","의주로2가",159
"160","1114017300","Malli-dong 1(il)-ga","만리동1가",160
"161","1114017400","Malli-dong 2(i)-ga","만리동2가",161
"162","1117010100","Huam-dong","후암동",162
"163","1117010200","yongsan-dong  2(i)-ga","용산동2가",163
"164","1117010300","Yongsan-dong 4(sa)-ga","용산동4가",164
"165","1117010400","Garwol-dong","갈월동",165
"166","1117010500","Namyeong-dong","남영동",166
"167","1117010600","Yongsan-dong 1(il)-ga","용산동1가",167
"168","1117010700","Dongja-dong","동자동",168
"169","1117010800","Seogye-dong","서계동",169
"170","1117010900","Cheongpa-dong 1(il)-ga","청파동1가",170
"171","1117011000","Cheongpa-dong 2(i)-ga","청파동2가",171
"172","1117011100","Cheongpa-dong 3(sam)-ga","청파동3가",172
"173","1117011200","Wonhyoro 1(iI)-ga","원효로1가",173
"174","1117011300","Wonhyoro 2(i)-ga","원효로2가",174
"175","1117011400","Sinchang-dong","신창동",175
"176","1117011500","Sancheon-dong","산천동",176
"177","1117011600","Cheongam-dong","청암동",177
"178","1117011700","Wonhyoro 3(sam)-ga","원효로3가",178
"179","1117011800","Wonhyoro 4(sa)-ga","원효로4가",179
"180","1117011900","Hyochang-dong","효창동",180
"181","1117012000","Dowon-dong","도원동",181
"182","1117012100","Yongmun-dong","용문동",182
"183","1117012200","Munbae-dong","문배동",183
"184","1117012300","Singye-dong","신계동",184
"185","1117012400","Hangangno 1(il)-ga","한강로1가",185
"186","1117012500","Hangangno 2(i)-ga","한강로2가",186
"187","1117012600","Yongsan-dong 3(sam)-ga","용산동3가",187
"188","1117012700","Yongsan-dong 5(o)-ga","용산동5가",188
"189","1117012800","Hangangno 3(sam)-ga","한강로3가",189
"190","1117012900","Ichon-dong","이촌동",190
"191","1117013000","Itaewon-dong","이태원동",191
"192","1117013100","Hannam-dong","한남동",192
"193","1117013200","Dongbinggo-dong","동빙고동",193
"194","1117013300","Seobinggo-dong","서빙고동",194
"195","1117013400","Juseong-dong","주성동",195
"196","1117013500","Yongsan-dong 6(yuk)-ga","용산동6가",196
"197","1117013600","Bogwang-dong","보광동",197
"198","1120010100","Sangwangsimni-dong","상왕십리동",198
"199","1120010200","Hawangsimni-dong","하왕십리동",199
